years, avg ,,,,,,,,,,,,
67, 1.67 ,,,,,,,,,,,,
68, 1.27 ,,,,,,,,,,,,
69, 1.23 ,,,,,,,,,,,,
70, 1.36 ,,,,,,,,,,,,
71, 2.14 ,,,,,,,,,,,,
72, 2.71 ,,,,,,,,,,,,
73, 2.45 ,,,,,,,,,,,,
74, 2.91 ,,,,,,,,,,,,
75, 2.66 ,,,,,,,,,,,,
76, 1.97 ,,,,,,,,,,,,
77, 1.69 ,,,,,,,,,,,,
78, 1.57 ,,,,,,,,,,,,
79, 1.67 ,,,,,,,,,,,,
80, 1.51 ,,,,,,,,,,,,
81, 1.51 ,,,,,,,,,,,,
82, 1.45 ,,,,,,,,,,,,
83, 1.56 ,,,,,,,,,,,,
84, 1.79 ,,,,,,,,,,,,
85, 2.60 ,,,,,,,,,,,,
86, 2.72 ,,,,,,,,,,,,
87, 2.69 ,,,,,,,,,,,,
88, 2.92 ,,,,,,,,,,,,
89, 2.99 ,,,,,,,,,,,,
90, 4.57 ,,,,,,,,,,,,
91, 5.17 ,,,,,,,,,,,,
92, 4.99 ,,,,,,,,,,,,
93, 4.44 ,,,,,,,,,,,,
94, 4.13 ,,,,,,,,,,,,
95, 3.91 ,,,,,,,,,,,,
96, 3.91 ,,,,,,,,,,,,
97, 4.14 ,,,,,,,,,,,,
98, 5.85 ,,,,,,,,,,,,
99, 5.21 ,,,,,,,,,,,,
100, 4.39 ,,,,,,,,,,,,
101, 4.24 ,,,,,,,,,,,,
102, 4.18 ,,,,,,,,,,,,
103, 3.96 ,,,,,,,,,,,,
104, 3.78 ,,,,,,,,,,,,
105, 3.92 ,,,,,,,,,,,,
106, 3.76 ,,,,,,,,,,,,
107, 3.71 ,,,,,,,,,,,,
108, 3.73 ,,,,,,,,,,,,
109, 3.86 ,,,,,,,,,,,,
