year,Avg,,,,,,,,,,,,
48,11.03 ,,,,,,,,,,,,
49,13.07 ,,,,,,,,,,,,
50,14.10 ,,,,,,,,,,,,
51,14.43 ,,,,,,,,,,,,
52,14.74 ,,,,,,,,,,,,
53,14.72 ,,,,,,,,,,,,
54,14.71 ,,,,,,,,,,,,
55,15.00 ,,,,,,,,,,,,
56,15.51 ,,,,,,,,,,,,
57,16.73 ,,,,,,,,,,,,
58,17.58 ,,,,,,,,,,,,
59,18.21 ,,,,,,,,,,,,
60,18.72 ,,,,,,,,,,,,
61,19.28 ,,,,,,,,,,,,
62,20.86 ,,,,,,,,,,,,
63,30.75 ,,,,,,,,,,,,
64,32.36 ,,,,,,,,,,,,
65,33.17 ,,,,,,,,,,,,
66,35.50 ,,,,,,,,,,,,
67,37.56 ,,,,,,,,,,,,
68,41.22 ,,,,,,,,,,,,
69,49.05 ,,,,,,,,,,,,
70,57.07 ,,,,,,,,,,,,
71,58.75 ,,,,,,,,,,,,
72,59.55 ,,,,,,,,,,,,
73,59.54 ,,,,,,,,,,,,
74,59.44 ,,,,,,,,,,,,
75,59.85 ,,,,,,,,,,,,
76,60.16 ,,,,,,,,,,,,
77,60.94 ,,,,,,,,,,,,
78,63.63 ,,,,,,,,,,,,
79,66.25 ,,,,,,,,,,,,
80,68.65 ,,,,,,,,,,,,
81,71.72 ,,,,,,,,,,,,
82,73.83 ,,,,,,,,,,,,
83,76.86 ,,,,,,,,,,,,
84,79.67 ,,,,,,,,,,,,
85,82.12 ,,,,,,,,,,,,
86,82.87 ,,,,,,,,,,,,
87,84.26 ,,,,,,,,,,,,
88,84.41 ,,,,,,,,,,,,
89,85.47 ,,,,,,,,,,,,
90,85.46 ,,,,,,,,,,,,
91,85.29 ,,,,,,,,,,,,
92,85.05 ,,,,,,,,,,,,
93,86.42 ,,,,,,,,,,,,
94,88.42 ,,,,,,,,,,,,
95,88.95 ,,,,,,,,,,,,
96,90.55 ,,,,,,,,,,,,
97,93.74 ,,,,,,,,,,,,
98,92.92 ,,,,,,,,,,,,
99,93.82 ,,,,,,,,,,,,
100,95.15 ,,,,,,,,,,,,
101,96.99 ,,,,,,,,,,,,
102,97.76 ,,,,,,,,,,,,
103,98.93 ,,,,,,,,,,,,
104,98.63 ,,,,,,,,,,,,
105,100.00 ,,,,,,,,,,,,
106,100.62 ,,,,,,,,,,,,
107,101.98 ,,,,,,,,,,,,
108,102.55 ,,,,,,,,,,,,
109,102.27 ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
